stream_size,percent,real,estimate,error
10000,10,1000,1049,4.95639
10000,20,2000,1865,6.70324
10000,30,3000,2746,8.44753
10000,40,4000,3410,14.7383
10000,50,5000,4233,15.3396
10000,60,6000,5255,12.4062
10000,70,7000,6519,6.87141
10000,80,8000,7532,5.8467
10000,90,9000,8721,3.09075
10000,100,10000,9522,4.77894
10000,10,1000,968,3.11512
10000,20,2000,1947,2.61222
10000,30,3000,2710,9.63705
10000,40,4000,3744,6.38297
10000,50,5000,4498,10.0351
10000,60,6000,5047,15.8792
10000,70,7000,6144,12.2263
10000,80,8000,7134,10.8133
10000,90,9000,8754,2.72982
10000,100,10000,9424,5.7586
10000,10,1000,939,6.08691
10000,20,2000,1836,8.15221
10000,30,3000,2917,2.74283
10000,40,4000,4004,0.108832
10000,50,5000,4882,2.35634
10000,60,6000,5764,3.92564
10000,70,7000,6746,3.61574
10000,80,8000,7620,4.74334
10000,90,9000,8437,6.25061
10000,100,10000,9062,9.37186
10000,10,1000,1018,1.82297
10000,20,2000,2113,5.67846
10000,30,3000,2919,2.6728
10000,40,4000,3898,2.54408
10000,50,5000,5139,2.78157
10000,60,6000,5946,0.890909
10000,70,7000,6727,3.8987
10000,80,8000,8207,2.59994
10000,90,9000,9086,0.957838
10000,100,10000,9825,1.74938
10000,10,1000,978,2.18962
10000,20,2000,1816,9.17673
10000,30,3000,2841,5.29453
10000,40,4000,3622,9.42909
10000,50,5000,4624,7.5026
10000,60,6000,5588,6.86413
10000,70,7000,7174,2.49227
10000,80,8000,7970,0.368176
10000,90,9000,9116,1.29176
10000,100,10000,9759,2.40494
50000,10,5000,4396,12.0698
50000,20,10000,9451,5.48344
50000,30,15000,15838,5.59313
50000,40,20000,21303,6.51547
50000,50,25000,25725,2.90004
50000,60,30000,31453,4.84429
50000,70,35000,37322,6.63463
50000,80,40000,41810,4.52512
50000,90,45000,46971,4.38107
50000,100,50000,52054,4.1085
50000,10,5000,4614,7.70432
50000,20,10000,9224,7.75104
50000,30,15000,13728,8.47625
50000,40,20000,18321,8.391
50000,50,25000,21671,13.3135
50000,60,30000,27106,9.64622
50000,70,35000,33640,3.88409
50000,80,40000,37234,6.9145
50000,90,45000,40317,10.4046
50000,100,50000,45263,9.47362
50000,10,5000,4877,2.45042
50000,20,10000,11269,12.6937
50000,30,15000,16507,10.0481
50000,40,20000,22359,11.7965
50000,50,25000,27701,10.8062
50000,60,30000,32321,7.73695
50000,70,35000,38454,9.87027
50000,80,40000,42651,6.62839
50000,90,45000,46391,3.09239
50000,100,50000,49714,0.570175
50000,10,5000,4608,7.83392
50000,20,10000,10214,2.14851
50000,30,15000,15614,4.09392
50000,40,20000,21380,6.90288
50000,50,25000,25344,1.37635
50000,60,30000,30281,0.93968
50000,70,35000,35796,2.27531
50000,80,40000,41102,2.75566
50000,90,45000,44477,1.16211
50000,100,50000,49120,1.75966
50000,10,5000,4649,7.00727
50000,20,10000,9222,7.77466
50000,30,15000,13652,8.98566
50000,40,20000,18732,6.33643
50000,50,25000,24984,0.0601676
50000,60,30000,29409,1.96671
50000,70,35000,33664,3.8162
50000,80,40000,38696,3.25768
50000,90,45000,44666,0.740295
50000,100,50000,49279,1.44087
100000,10,10000,8411,15.885
100000,20,20000,19398,3.00719
100000,30,30000,29771,0.760327
100000,40,40000,36394,9.01252
100000,50,50000,44658,10.6837
100000,60,60000,55895,6.84144
100000,70,70000,73535,5.05138
100000,80,80000,83349,4.18634
100000,90,90000,92807,3.11942
100000,100,100000,102606,2.60694
100000,10,10000,10736,7.36227
100000,20,20000,20323,1.61893
100000,30,30000,27326,8.91019
100000,40,40000,38190,4.52363
100000,50,50000,45316,9.36669
100000,60,60000,53525,10.7913
100000,70,70000,63646,9.07648
100000,80,80000,71259,10.9259
100000,90,90000,81549,9.38896
100000,100,100000,89768,10.2314
100000,10,10000,9277,7.22226
100000,20,20000,20344,1.72387
100000,30,30000,28699,4.33612
100000,40,40000,38027,4.93206
100000,50,50000,45295,9.40975
100000,60,60000,51403,14.3268
100000,70,70000,61303,12.4239
100000,80,80000,66914,16.3564
100000,90,90000,79551,11.6098
100000,100,100000,91156,8.84332
100000,10,10000,9658,3.41159
100000,20,20000,18247,8.76452
100000,30,30000,29925,0.248178
100000,40,40000,40707,1.76966
100000,50,50000,50687,1.37594
100000,60,60000,61323,2.20546
100000,70,70000,69069,1.32864
100000,80,80000,77185,3.518
100000,90,90000,83054,7.71765
100000,100,100000,86005,13.9945
100000,10,10000,10454,4.54337
100000,20,20000,18952,5.23914
100000,30,30000,30205,0.685761
100000,40,40000,38304,4.23972
100000,50,50000,49363,1.27362
100000,60,60000,57108,4.81844
100000,70,70000,64046,8.50504
100000,80,80000,74494,6.88232
100000,90,90000,88112,2.09717
100000,100,100000,94776,5.22385
